"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1962","Locating child elements","chromium","Wed Jul 02 20:15:28 EEST 2025","passed","Wed Jul 02 20:15:30 EEST 2025","","firstTest.spec.ts","",""
"","1963","Parametrized methods","chromium","Wed Jul 02 20:15:34 EEST 2025","passed","Wed Jul 02 20:15:36 EEST 2025","","testWithFixtures.spec.ts","",""
"","2059","User facing locators","chromium","Wed Jul 02 20:15:27 EEST 2025","passed","Wed Jul 02 20:15:29 EEST 2025","","firstTest.spec.ts","",""
"","1961","Assertions","chromium","Wed Jul 02 20:15:31 EEST 2025","passed","Wed Jul 02 20:15:33 EEST 2025","","firstTest.spec.ts","",""
"","1893","input fields","chromium","Wed Jul 02 20:15:31 EEST 2025","passed","Wed Jul 02 20:15:33 EEST 2025","","testMobile.spec.ts","",""
"","2","Alternative waits","chromium","Wed Jul 02 20:15:18 EEST 2025","skipped","Wed Jul 02 20:15:18 EEST 2025","","autoWaiting.spec.ts","",""
"","5095","Navigate to form page @smoke","chromium","Wed Jul 02 20:15:33 EEST 2025","passed","Wed Jul 02 20:15:38 EEST 2025","","usePageObjects.spec.ts","",""
"","3666","Tooltips","chromium","Wed Jul 02 20:15:20 EEST 2025","passed","Wed Jul 02 20:15:23 EEST 2025","","components.spec.ts","",""
"","1966","Locating parent elements","chromium","Wed Jul 02 20:15:29 EEST 2025","passed","Wed Jul 02 20:15:31 EEST 2025","","firstTest.spec.ts","",""
"","3564","Checkboxes","chromium","Wed Jul 02 20:15:20 EEST 2025","passed","Wed Jul 02 20:15:23 EEST 2025","","components.spec.ts","",""
"","2926","Dialog box","chromium","Wed Jul 02 20:15:23 EEST 2025","passed","Wed Jul 02 20:15:26 EEST 2025","","components.spec.ts","",""
"","4914","Parametrized methods","chromium","Wed Jul 02 20:15:33 EEST 2025","passed","Wed Jul 02 20:15:38 EEST 2025","","usePageObjects.spec.ts","",""
"","2094","Extracting values","chromium","Wed Jul 02 20:15:30 EEST 2025","passed","Wed Jul 02 20:15:33 EEST 2025","","firstTest.spec.ts","",""
"","16812","auto waiting","chromium","Wed Jul 02 20:15:19 EEST 2025","passed","Wed Jul 02 20:15:36 EEST 2025","","autoWaiting.spec.ts","",""
"","5308","input fields","mobile","Wed Jul 02 20:15:35 EEST 2025","failed","Wed Jul 02 20:15:40 EEST 2025","","testMobile.spec.ts","",""
"","3770","Radio buttons","chromium","Wed Jul 02 20:15:19 EEST 2025","passed","Wed Jul 02 20:15:23 EEST 2025","Form Layouts page","components.spec.ts","",""
"","3845","input fields","chromium","Wed Jul 02 20:15:19 EEST 2025","passed","Wed Jul 02 20:15:23 EEST 2025","Form Layouts page","components.spec.ts","",""
"","7899","Datepicker","chromium","Wed Jul 02 20:15:24 EEST 2025","failed","Wed Jul 02 20:15:32 EEST 2025","","components.spec.ts","",""
"","5813","Web tables","chromium","Wed Jul 02 20:15:24 EEST 2025","passed","Wed Jul 02 20:15:29 EEST 2025","","components.spec.ts","",""
"","1715","Reusing the locators","chromium","Wed Jul 02 20:15:30 EEST 2025","passed","Wed Jul 02 20:15:31 EEST 2025","","firstTest.spec.ts","",""
"","40087","Drag and drop with iFrame","chromium","Wed Jul 02 20:15:26 EEST 2025","broken","Wed Jul 02 20:16:06 EEST 2025","","dragAndDropWithiFrame.spec.ts","",""
"","2129","Sliders","chromium","Wed Jul 02 20:15:25 EEST 2025","passed","Wed Jul 02 20:15:27 EEST 2025","","components.spec.ts","",""
"","1884","Locator syntax rules","chromium","Wed Jul 02 20:15:27 EEST 2025","passed","Wed Jul 02 20:15:28 EEST 2025","","firstTest.spec.ts","",""
"","0","Timeouts","chromium","Wed Jul 02 20:15:18 EEST 2025","skipped","Wed Jul 02 20:15:18 EEST 2025","","autoWaiting.spec.ts","",""
"","5465","Lists and dropdowns","chromium","Wed Jul 02 20:15:19 EEST 2025","passed","Wed Jul 02 20:15:25 EEST 2025","","components.spec.ts","",""
"","2696","Smart datepicker","chromium","Wed Jul 02 20:15:24 EEST 2025","passed","Wed Jul 02 20:15:27 EEST 2025","","components.spec.ts","",""
